268069,346020
268072,344525
268075,342012
268078,340599
268081,341458
268084,344289
268087,346104
268091,345391
268094,342948
268097,341091
268100,341472
268103,343641
268106,345348
268109,345329
268113,343292
268116,341453
268119,341158
268122,342841
268125,344942
268128,345619
268131,344000
268135,341667
268138,340976
268141,342197
268144,344730
268147,346211
268150,345370
268153,342777
268156,340868
268160,341375
268163,343730
268166,345815
268169,345674
268172,343401
268175,341042
268178,340643
268182,342636
268185,345257
268188,346010
268191,344513
268194,341986
268197,340521
268200,341576
268204,344005
268207,345630
268210,345187
268213,342862
268216,341093
268219,341608
268222,343577
268226,345514
268229,345805
268232,343990
268235,341451
268238,340782
268241,342131
268244,344430
268248,345867
268251,344840
268254,342101
268257,340706
268260,342075
268263,344340
268266,346109
268270,345552
268273,342985
268276,340708
268279,340995
268282,342946
268285,345167
268288,345918
268292,344059
268295,341660
268298,340813
268301,342092
268304,344431
268307,345758
268310,344743
268314,342416
268317,341125
268320,341900
268323,344021
268326,345666
268329,345341
268332,342974
268336,341055
268339,340822
268342,342971
268345,345182
268348,345883
268351,343976
268354,341529
268357,340450
268361,341937
268364,344724
268367,346063
268370,344838
268373,342311
268376,340570
268379,341135
268383,343622
268386,345647
268389,345120
268392,343217
268395,341278
268398,341059
268401,343028
268405,345257
268408,345708
268411,344129
268414,341842
268417,340863
268420,342112
268423,344517
268427,345760
268430,344929
268433,342450
268436,340909
268439,341354
268442,343705
268445,345406
268449,345181
268452,343408
268455,341469
268458,341108
268461,343003
268464,345082
268467,345879
268471,344402
268474,342185
268477,340824
268480,341807
268483,344250
268486,345835
268489,344892
268493,342647
268496,340772
268499,341301
268502,343660
268505,345753
268508,345788
268511,343743
268515,341420
268518,341037
268521,342754
268524,345071
268527,345770
268530,344147
268533,342164
268537,341041
268540,341946
268543,344343
268546,345898
268549,345407
268552,342840
268555,340905
268558,341250
268562,343425
268565,345392
268568,345687
268571,343836
268574,341063
268577,340426
268580,342257
268584,344640
268587,345925
268590,344472
268593,341871
268596,340626
268599,341949
268602,344486
268606,346029
268609,345590
268612,343177
268615,340880
268618,340915
268621,342958
268624,345361
268628,345888
268631,343931
268634,341608
268637,340565
268640,342156
268643,344589
268646,345634
268650,344503
268653,342224
268656,340967
268659,341838
268662,343963
268665,345550
268668,345273
268672,343222
268675,341287
268678,341216
268681,343199
268684,345400
268687,345599
268690,344020
268694,341709
268697,340668
268700,342137
268703,344738
268706,345829
268709,344512
268712,342185
268716,340846
268719,341487
268722,344066
268725,346025
268728,345542
268731,343133
268734,340988
268738,340881
268741,342934
268744,345445
268747,346004
268750,344295
268753,341656
268756,340471
268759,342164
268763,344727
268766,345836
268769,344921
268772,342436
268775,340525
268778,341280
268781,344059
268785,346158
268788,345767
268791,343336
268794,341227
268797,340686
268800,342391
268803,345202
268807,346059
268810,344418
268813,341837
268816,340716
268819,342075
268822,344746
268825,345713
268829,345028
268832,342775
268835,340830
268838,341019
268841,343368
268844,345451
268847,345374
268851,343537
268854,341370
268857,340987
268860,342774
268863,345219
268866,345780
268869,344105
268873,341780
268876,340801
268879,342092
268882,344261
268885,345758
268888,345235
268891,342874
268895,341117
268898,341142
268901,343335
268904,345568
268907,345735
268910,343754
268913,341221
268917,340716
268920,342699
268923,345368
268926,346253
268929,344710
268932,342077
268935,340570
268938,341629
268942,344236
268945,345965
268948,345668
268951,343121
268954,340944
268957,341055
268960,343220
268964,345249
268967,345884
268970,344063
268973,341468
268976,340861
268979,342724
268982,344901
268986,345796
268989,344559
268992,341898
268995,340369
268998,341796
269001,344291
269004,346002
269008,345511
269011,343200
269014,341003
269017,341112
269020,343297
269023,345286
269026,345757
269030,343870
269033,341589
269036,340862
269039,342589
269042,345068
269045,345973
269048,344728
269052,341987
269055,340642
